"last_change_date","barcode","available_stock","in_way_to_client","in_way_from_client","total_stock","available_stock_cost","in_way_to_client_cost","in_way_from_client_cost","total_stock_cost","sales_quantity","revenue","for_pay","sales_cost_price","gross_profit","cost_price","is_cost_price_missing","is_stock_missing","category","subject","supplier_article","brand","orig_country","color","size_group","size"
"2022-05-19","2000466024501",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-12","2000582612095",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-08","2000466024310",28,74,8,110,8208.48,21693.84,2345.28,32247.60,4,2538.00,2322.99,1172.64,1150.35,293.16,0,0,"category 588","subject 618","supplierArticle 432","brand 604","Сербия","оливковый",NULL,"0"
"2022-09-10","2000466024310",8,81,8,97,2345.28,23745.96,2345.28,28436.52,6,3642.00,3387.06,1758.96,1628.10,293.16,0,0,"category 588","subject 618","supplierArticle 432","brand 604","Сербия","оливковый",NULL,"0"
"2022-07-11","2000466024501",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-09","2000582612170",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-07","2000466024464",0,2,0,2,NULL,107.44,NULL,107.44,0,0,0,0,0,53.72,0,0,"category 596","subject 633","supplierArticle 467","brand 610","Сербия","Белый",NULL,"0"
"2022-07-09","2000466024310",235,67,12,314,68892.60,19641.72,3517.92,92052.24,2,1668.00,1578.72,586.32,992.40,293.16,0,0,"category 588","subject 618","supplierArticle 432","brand 604","Сербия","оливковый",NULL,"0"
"2022-09-11","2000582612385",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-24","2000582612347",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-28","2000582612309",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-20","2000599354315",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-19","2000582612385",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-30","2000582612453",0,12,0,12,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-22","2000582612125",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-04","2000582612163",0,4,0,4,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-21","2000599354131",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-02","2000582612347",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-27","2000629385401",0,11,1,12,NULL,1132.23,102.93,1235.16,0,0,0,0,0,102.93,0,0,"category 599","subject 624","supplierArticle 48","brand 607","Сербия","Розовый",NULL,"0"
"2022-07-25","2000466024464",0,1,0,1,NULL,53.72,NULL,53.72,0,0,0,0,0,53.72,0,0,"category 596","subject 633","supplierArticle 467","brand 610","Сербия","Белый",NULL,"0"
"2022-08-30","2000629385432",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-18","2000629385388",0,28,2,30,NULL,2439.36,174.24,2613.60,0,0,0,0,0,87.12,0,0,"category 599","subject 624","supplierArticle 45","brand 607","Сербия","сиреневый",NULL,"0"
"2022-06-26","2000582612453",0,12,0,12,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-07","2000599354100",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-27","2000466024310",364,68,13,445,106710.24,19934.88,3811.08,130456.20,3,2556.00,2145.78,879.48,1266.30,293.16,0,0,"category 588","subject 618","supplierArticle 432","brand 604","Сербия","оливковый",NULL,"0"
"2022-05-28","2000464167095",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-07","2000582612125",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-23","2000466024501",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-24","2000582612163",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-23","2000582612385",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-01","2000629385418",2,32,0,34,163.68,2618.88,NULL,2782.56,0,0,0,0,0,81.84,0,0,"category 599","subject 624","supplierArticle 50","brand 607","Сербия","Желтый",NULL,"0"
"2022-08-12","2000629385395",0,13,0,13,NULL,1293.50,NULL,1293.50,0,0,0,0,0,99.5,0,0,"category 599","subject 624","supplierArticle 46","brand 607","Сербия","Черный",NULL,"0"
"2022-07-31","2000582612347",0,4,0,4,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-18","2000599354117",4,2,0,6,220.52,110.26,NULL,330.78,0,0,0,0,0,55.1304,0,0,"category 589","subject 637","supplierArticle 486","brand 605","Сербия","Розовый",NULL,"0"
"2022-09-13","2000582612309",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-10","2000582612231",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-23","2000629385388",0,14,1,15,NULL,1219.68,87.12,1306.80,0,0,0,0,0,87.12,0,0,"category 599","subject 624","supplierArticle 45","brand 607","Сербия","сиреневый",NULL,"0"
"2022-07-28","2000599354131",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-30","2000582612163",0,4,0,4,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-26","2000599354315",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-18","2000599354117",0,2,0,2,NULL,110.26,NULL,110.26,0,0,0,0,0,55.1304,0,0,"category 589","subject 637","supplierArticle 486","brand 605","Сербия","Розовый",NULL,"0"
"2022-06-04","2000599354100",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-28","2000629385388",0,28,2,30,NULL,2439.36,174.24,2613.60,0,0,0,0,0,87.12,0,0,"category 599","subject 624","supplierArticle 45","brand 607","Сербия","сиреневый",NULL,"0"
"2022-09-09","2000599354315",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-19","2000466024501",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-26","2000599354131",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-07","2000582612095",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-01","2000466024464",0,2,0,2,NULL,107.44,NULL,107.44,0,0,0,0,0,53.72,0,0,"category 596","subject 633","supplierArticle 467","brand 610","Сербия","Белый",NULL,"0"
"2022-07-21","2000464167095",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-04-07","2000599354131",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-12","2000582612170",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-04-16","2000582612385",0,3,0,3,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-02","2000582612163",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-01","2000629385401",0,12,1,13,NULL,1235.16,102.93,1338.09,0,0,0,0,0,102.93,0,0,"category 599","subject 624","supplierArticle 48","brand 607","Сербия","Розовый",NULL,"0"
"2022-06-21","2000599354100",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-03","2000582612453",0,12,0,12,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-21","2000582612385",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-12","2000466024440",0,2,1,3,NULL,670.32,335.16,1005.48,0,0,0,0,0,335.16,0,0,"category 596","subject 633","supplierArticle 468","brand 610","Сербия","Лиловый",NULL,"0"
"2022-07-30","2000464167095",0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-20","2000599354131",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-30","2000582612453",0,12,0,12,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-14","2000466024495",0,1,0,1,NULL,98.34,NULL,98.34,0,0,0,0,0,98.34,0,0,"category 596","subject 633","supplierArticle 465","brand 610","Сербия","Розовый",NULL,"0"
"2022-05-27","2000629385395",0,13,1,14,NULL,1293.50,99.50,1393.00,0,0,0,0,0,99.5,0,0,"category 599","subject 624","supplierArticle 46","brand 607","Сербия","Черный",NULL,"0"
"2022-07-25","2000599354117",0,1,0,1,NULL,55.13,NULL,55.13,0,0,0,0,0,55.1304,0,0,"category 589","subject 637","supplierArticle 486","brand 605","Сербия","Розовый",NULL,"0"
"2022-07-28","2000599354100",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-13","2000466024440",0,2,0,2,NULL,670.32,NULL,670.32,1,211.56,208.56,335.16,-126.60,335.16,0,0,"category 596","subject 633","supplierArticle 468","brand 610","Сербия","Лиловый",NULL,"0"
"2022-07-25","2000582612347",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-07","2000629385401",0,12,1,13,NULL,1235.16,102.93,1338.09,0,0,0,0,0,102.93,0,0,"category 599","subject 624","supplierArticle 48","brand 607","Сербия","Розовый",NULL,"0"
"2022-05-18","2000582612385",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-27","2000582612347",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-04-12","2000466024501",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-28","2000629385401",0,12,1,13,NULL,1235.16,102.93,1338.09,0,0,0,0,0,102.93,0,0,"category 599","subject 624","supplierArticle 48","brand 607","Сербия","Розовый",NULL,"0"
"2022-06-18","2000599354131",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-09","2000582612347",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-20","2000582612231",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-08","2000599354100",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-08","2000582612453",0,24,0,24,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-29","2000582612231",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-10","2000629385388",0,14,1,15,NULL,1219.68,87.12,1306.80,0,0,0,0,0,87.12,0,0,"category 599","subject 624","supplierArticle 45","brand 607","Сербия","сиреневый",NULL,"0"
"2022-08-31","2000582612446",0,5,0,5,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-29","2000582612347",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-12","2000466024464",0,1,0,1,NULL,53.72,NULL,53.72,0,0,0,0,0,53.72,0,0,"category 596","subject 633","supplierArticle 467","brand 610","Сербия","Белый",NULL,"0"
"2022-06-19","2000466024440",0,2,1,3,NULL,670.32,335.16,1005.48,0,0,0,0,0,335.16,0,0,"category 596","subject 633","supplierArticle 468","brand 610","Сербия","Лиловый",NULL,"0"
"2022-05-22","2000466024310",385,60,11,456,112866.60,17589.60,3224.76,133680.96,3,2415.00,2103.48,879.48,1224.00,293.16,0,0,"category 588","subject 618","supplierArticle 432","brand 604","Сербия","оливковый",NULL,"0"
"2022-07-12","2000599354124",0,1,0,1,NULL,56.10,NULL,56.10,0,0,0,0,0,56.0976,0,0,"category 589","subject 637","supplierArticle 487","brand 605","Сербия","Красный",NULL,"0"
"2022-08-03","2000582612309",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-25","2000466024495",0,1,0,1,NULL,98.34,NULL,98.34,0,0,0,0,0,98.34,0,0,"category 596","subject 633","supplierArticle 465","brand 610","Сербия","Розовый",NULL,"0"
"2022-07-28","2000466024440",0,4,0,4,NULL,1340.64,NULL,1340.64,0,0,0,0,0,335.16,0,0,"category 596","subject 633","supplierArticle 468","brand 610","Сербия","Лиловый",NULL,"0"
"2022-07-31","2000599354131",0,4,0,4,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-28","2000582612385",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-25","2000599354131",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-20","2000582612309",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-27","2000582612385",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-25","2000629385388",0,14,1,15,NULL,1219.68,87.12,1306.80,0,0,0,0,0,87.12,0,0,"category 599","subject 624","supplierArticle 45","brand 607","Сербия","сиреневый",NULL,"0"
"2022-07-16","2000466024310",600,231,36,867,175896.00,67719.96,10553.76,254169.72,9,6801.15,6444.24,2638.44,3805.80,293.16,0,0,"category 588","subject 618","supplierArticle 432","brand 604","Сербия","оливковый",NULL,"0"
"2022-06-14","2000629385418",0,16,2,18,NULL,1309.44,163.68,1473.12,0,0,0,0,0,81.84,0,0,"category 599","subject 624","supplierArticle 50","brand 607","Сербия","Желтый",NULL,"0"
"2022-06-24","2000629385395",0,13,1,14,NULL,1293.50,99.50,1393.00,0,0,0,0,0,99.5,0,0,"category 599","subject 624","supplierArticle 46","brand 607","Сербия","Черный",NULL,"0"
"2022-05-19","2000599354124",0,2,0,2,NULL,112.20,NULL,112.20,1,249.63,246.63,56.0976,190.5324,56.0976,0,0,"category 589","subject 637","supplierArticle 487","brand 605","Сербия","Красный",NULL,"0"
"2022-06-07","2000582612408",0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,99.3888,0,0,"category 594","subject 627","supplierArticle 488","brand 605","Сербия","Фиолетовый",NULL,"0"
"2022-05-24","2000466024464",0,1,0,1,NULL,53.72,NULL,53.72,0,0,0,0,0,53.72,0,0,"category 596","subject 633","supplierArticle 467","brand 610","Сербия","Белый",NULL,"0"
"2022-07-12","2000582612095",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-09","2000599354124",0,1,0,1,NULL,56.10,NULL,56.10,0,0,0,0,0,56.0976,0,0,"category 589","subject 637","supplierArticle 487","brand 605","Сербия","Красный",NULL,"0"
"2022-08-10","2000466024501",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-04-12","2000599354131",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-18","2000582612163",0,4,0,4,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-01","2000582612170",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-24","2000582612446",0,5,0,5,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-11","2000629385395",0,13,1,14,NULL,1293.50,99.50,1393.00,0,0,0,0,0,99.5,0,0,"category 599","subject 624","supplierArticle 46","brand 607","Сербия","Черный",NULL,"0"
"2022-07-27","2000629385388",0,14,1,15,NULL,1219.68,87.12,1306.80,0,0,0,0,0,87.12,0,0,"category 599","subject 624","supplierArticle 45","brand 607","Сербия","сиреневый",NULL,"0"
"2022-08-20","2000629385388",0,14,1,15,NULL,1219.68,87.12,1306.80,0,0,0,0,0,87.12,0,0,"category 599","subject 624","supplierArticle 45","brand 607","Сербия","сиреневый",NULL,"0"
"2022-07-16","2000582612231",0,3,0,3,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-09","2000466024310",228,140,18,386,66840.48,41042.40,5276.88,113159.76,4,3498.00,3315.84,1172.64,2143.20,293.16,0,0,"category 588","subject 618","supplierArticle 432","brand 604","Сербия","оливковый",NULL,"0"
"2022-08-21","2000582612385",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-04-07","2000599354100",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-27","2000599354124",0,1,0,1,NULL,56.10,NULL,56.10,0,0,0,0,0,56.0976,0,0,"category 589","subject 637","supplierArticle 487","brand 605","Сербия","Красный",NULL,"0"
"2022-04-08","2000582612125",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-05","2000582612231",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-24","2000582612460",0,1,0,1,NULL,77.25,NULL,77.25,0,0,0,0,0,77.2464,0,0,"category 594","subject 627","supplierArticle 584","brand 605","Сербия","Розовый",NULL,"0"
"2022-08-07","2000582612385",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-24","2000582612309",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-23","2000464167095",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-18","2000599354360",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-10","2000466024310",232,68,12,312,68013.12,19934.88,3517.92,91465.92,1,834.00,789.36,293.16,496.20,293.16,0,0,"category 588","subject 618","supplierArticle 432","brand 604","Сербия","оливковый",NULL,"0"
"2022-08-28","2000582612125",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-07","2000466024310",250,134,18,402,73290.00,39283.44,5276.88,117850.32,8,7191.00,6816.48,2345.28,4471.20,293.16,0,0,"category 588","subject 618","supplierArticle 432","brand 604","Сербия","оливковый",NULL,"0"
"2022-04-12","2000582612170",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-10","2000466024471",0,1,0,1,NULL,81.18,NULL,81.18,2,423.12,417.12,162.36,254.76,81.18,0,0,"category 596","subject 633","supplierArticle 463","brand 610","Сербия","сиреневый",NULL,"0"
"2022-08-12","2000582612309",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-30","2000582612231",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
